date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2014-01-18,Roger Federer,Teymuraz Gabashvili,,,RH,RH,M
2014-01-18,Grigor Dimitrov,Milos Raonic,,,RH,RH,M
2014-01-18,Andy Murray,Feliciano Lopez,,,RH,LH,M
2014-01-18,Kei Nishikori,Donald Young,,,RH,LH,M
2014-01-18,Rafael Nadal,Gael Monfils,,,LH,RH,M
2014-01-19,David Ferrer,Florian Mayer,,,RH,RH,M
2014-01-19,Novak Djokovic,Fabio Fognini,,,RH,RH,M
2014-01-19,Tomas Berdych,Kevin Anderson,,,RH,RH,M
2014-01-19,Stan Wawrinka,Tommy Robredo,,,RH,RH,M
2014-01-20,Rafael Nadal,Kei Nishikori,,,LH,RH,M
2014-01-20,Andy Murray,Stephane Robert,,,RH,RH,M
2014-01-21,Tomas Berdych,David Ferrer,,,RH,RH,M
2014-01-21,Stan Wawrinka,Novak Djokovic,,,RH,RH,M
2014-01-22,Rafael Nadal,Grigor Dimitrov,,,LH,RH,M
2014-01-22,Roger Federer,Andy Murray,,,RH,RH,M
2014-01-23,Stan Wawrinka,Tomas Berdych,,,RH,RH,M
2014-01-24,Rafael Nadal,Roger Federer,,,LH,RH,M
2014-01-26,Stan Wawrinka,Rafael Nadal,,,RH,LH,M
2014-02-04,Denis Istomin,Marsel Ilhan,,,RH,RH,M
2014-02-04,Adrian Mannarino,Vincent Millot,,,LH,LH,M
2014-02-05,Joao Sousa,Tobias Kamke,,,RH,RH,M
2014-02-05,Jarkko Nieminen,Aleksandr Nedovyesov,,,LH,RH,M
2014-02-05,Gael Monfils,Lukasz Kubot,,,RH,RH,M
2014-02-05,Dustin Brown,Teymuraz Gabashvili,,,RH,RH,M
2014-02-05,Nikolay Davydenko,Julien Benneteau,,,RH,RH,M
2014-02-06,Denis Istomin,Dmitry Tursunov,,,RH,RH,M
2014-02-06,Gael Monfils,Joao Sousa,,,RH,RH,M
2014-02-06,Jerzy Janowicz,Adrian Mannarino,,,RH,LH,M
2014-02-07,Gael Monfils,Denis Istomin,,,RH,RH,M
2014-02-08,Gael Monfils,Jarkko Nieminen,,,RH,LH,M
2014-02-08,Richard Gasquet,Jerzy Janowicz,,,RH,RH,M
2014-02-09,Gael Monfils,Richard Gasquet,,,RH,RH,M
2014-02-04,Aljaz Bedene,Stephane Robert,,,RH,RH,M
2014-02-04,Federico Delbonis,Pablo Cuevas,,,LH,RH,M
2014-02-04,Paolo Lorenzi,Alejandro Gonzalez,,,RH,RH,M
2014-02-04,Taro Daniel,Thomaz Bellucci,,,RH,LH,M
2014-02-06,Jeremy Chardy,Cristian Garin,,,RH,RH,M
2014-02-05,Leonardo Mayer,Tommy Robredo,,,RH,RH,M
2014-02-05,Santiago Giraldo,Marcel Granollers,,,RH,RH,M
